spanish,english
el/la,she
de,of
que,that
y,and
en,in
un,a
ser,to be
a,a
él,the
lo,it
no,No
su,its
haber,to have
con,with
por,by
para,for
mí,my
lo,it
tener,to have
como,how
estar,be
me,I
más,more
este,this
le,you
hacer,do
se,I know
yo,me
o,either
pero,but
decir,tell
poder,can
ir,to go
ese,that
otro,other
si,Yes
mi,me
ver,watch
ya,Already
porque,because
mucho,much
dar,to give
muy,very
saber,to know
sí,Yes
año,year
ti,you
te,tea
también,also
qué,what
alguno,some
nos,us
tu,your
sin,without
mismo,same
eso,it's
cuando,when
querer,want
vez,time
hasta,until
la,the
sobre,on
entre,Come in
dos,two
día,day
grande,great
así,So
pasar,spend
cosa,stuff
desde,since
deber,have to
ella,she
pues,well
entonces,then
llegar,get
poco,little bit
nuestro,our
bien,right
ni,neither
tiempo,weather
ahora,now
primero,first
creer,believe
donde,where
vida,life
dejar,let
nada,any
tanto,so much
parecer,look
hablar,speak
poner,put
parte,part
eh,Hey
nuevo,new
sólo,single
siempre,forever
hombre,men
bueno,Okay
seguir,continue
quedar,stay